"id","constructorId","name","fullName"
"tyrrell-012","tyrrell","012","Tyrrell 012"
"tyrrell-014","tyrrell","014","Tyrrell 014"
"tyrrell-015","tyrrell","015","Tyrrell 015"
"tyrrell-017","tyrrell","017","Tyrrell 017"
"tyrrell-017b","tyrrell","017B","Tyrrell 017B"
"tyrrell-018","tyrrell","018","Tyrrell 018"
"tyrrell-019","tyrrell","019","Tyrrell 019"
"tyrrell-020","tyrrell","020","Tyrrell 020"
"tyrrell-020b","tyrrell","020B","Tyrrell 020B"
"tyrrell-020c","tyrrell","020C","Tyrrell 020C"
"tyrrell-021","tyrrell","021","Tyrrell 021"
"tyrrell-022","tyrrell","022","Tyrrell 022"
"tyrrell-023","tyrrell","023","Tyrrell 023"
"tyrrell-024","tyrrell","024","Tyrrell 024"
"tyrrell-025","tyrrell","025","Tyrrell 025"
"tyrrell-026","tyrrell","026","Tyrrell 026"
"tyrrell-dg016","tyrrell","DG016","Tyrrell DG016"
"tyrrell-p34","tyrrell","P34","Tyrrell P34"
"vanwall-special","vanwall","Special","Vanwall Special"
"vanwall-vw-11","vanwall","VW 11","Vanwall VW 11"
"vanwall-vw-2","vanwall","VW 2","Vanwall VW 2"
"vanwall-vw-5","vanwall","VW 5","Vanwall VW 5"
"vanwall-vw-55","vanwall","VW 55","Vanwall VW 55"
"vanwall-vw-59","vanwall","VW 59","Vanwall VW 59"
"venturi-lc92","venturi","LC92","Venturi LC92"
"veritas-meteor","veritas","Meteor","Veritas Meteor"
"veritas-rs","veritas","RS","Veritas RS"
"virgin-mvr-02","virgin","MVR-02","Virgin MVR-02"
"virgin-vr-01","virgin","VR-01","Virgin VR-01"
"watson-cc-50","watson","CC-50","Watson CC-50"
"watson-cc-53","watson","CC-53","Watson CC-53"
"watson-indy-roadster","watson","Indy Roadster","Watson Indy Roadster"
"wetteroth","wetteroth","Wetteroth","Wetteroth"
"williams-fw06","williams","FW06","Williams FW06"
"williams-fw07","williams","FW07","Williams FW07"
"williams-fw07b","williams","FW07B","Williams FW07B"
"williams-fw07c","williams","FW07C","Williams FW07C"
"williams-fw07d","williams","FW07D","Williams FW07D"
"williams-fw08","williams","FW08","Williams FW08"
"williams-fw08c","williams","FW08C","Williams FW08C"
"williams-fw09","williams","FW09","Williams FW09"
"williams-fw09b","williams","FW09B","Williams FW09B"
"williams-fw10","williams","FW10","Williams FW10"
"williams-fw10b","williams","FW10B","Williams FW10B"
"williams-fw11","williams","FW11","Williams FW11"
"williams-fw11b","williams","FW11B","Williams FW11B"
"williams-fw12","williams","FW12","Williams FW12"
"williams-fw12c","williams","FW12C","Williams FW12C"
"williams-fw13","williams","FW13","Williams FW13"
"williams-fw13b","williams","FW13B","Williams FW13B"
"williams-fw14","williams","FW14","Williams FW14"
"williams-fw14b","williams","FW14B","Williams FW14B"
"williams-fw15c","williams","FW15C","Williams FW15C"
"williams-fw16","williams","FW16","Williams FW16"
"williams-fw16b","williams","FW16B","Williams FW16B"
"williams-fw17","williams","FW17","Williams FW17"
"williams-fw17b","williams","FW17B","Williams FW17B"
"williams-fw18","williams","FW18","Williams FW18"
"williams-fw19","williams","FW19","Williams FW19"
"williams-fw20","williams","FW20","Williams FW20"
"williams-fw21","williams","FW21","Williams FW21"
"williams-fw22","williams","FW22","Williams FW22"
"williams-fw23","williams","FW23","Williams FW23"
"williams-fw24","williams","FW24","Williams FW24"
"williams-fw25","williams","FW25","Williams FW25"
"williams-fw26","williams","FW26","Williams FW26"
"williams-fw27","williams","FW27","Williams FW27"
"williams-fw28","williams","FW28","Williams FW28"
"williams-fw29","williams","FW29","Williams FW29"
"williams-fw30","williams","FW30","Williams FW30"
"williams-fw31","williams","FW31","Williams FW31"
"williams-fw32","williams","FW32","Williams FW32"
"williams-fw33","williams","FW33","Williams FW33"
"williams-fw34","williams","FW34","Williams FW34"
"williams-fw35","williams","FW35","Williams FW35"
"williams-fw36","williams","FW36","Williams FW36"
"williams-fw37","williams","FW37","Williams FW37"
"williams-fw38","williams","FW38","Williams FW38"
"williams-fw40","williams","FW40","Williams FW40"
"williams-fw41","williams","FW41","Williams FW41"
"williams-fw42","williams","FW42","Williams FW42"
"williams-fw43","williams","FW43","Williams FW43"
"williams-fw43b","williams","FW43B","Williams FW43B"
"williams-fw44","williams","FW44","Williams FW44"
"williams-fw45","williams","FW45","Williams FW45"
"williams-fw46","williams","FW46","Williams FW46"
"williams-fw47","williams","FW47","Williams FW47"
"wolf-williams-fw04","wolf-williams","FW04","Wolf-Williams FW04"
"wolf-williams-fw05","wolf-williams","FW05","Wolf-Williams FW05"
"wolf-wr1","wolf","WR1","Wolf WR1"
"wolf-wr2","wolf","WR2","Wolf WR2"
"wolf-wr3","wolf","WR3","Wolf WR3"
"wolf-wr4","wolf","WR4","Wolf WR4"
"wolf-wr5","wolf","WR5","Wolf WR5"
"wolf-wr6","wolf","WR6","Wolf WR6"
"wolf-wr7","wolf","WR7","Wolf WR7"
"wolf-wr8","wolf","WR8","Wolf WR8"
"wolf-wr9","wolf","WR9","Wolf WR9"
"zakspeed-841","zakspeed","841","Zakspeed 841"
"zakspeed-861","zakspeed","861","Zakspeed 861"
"zakspeed-871","zakspeed","871","Zakspeed 871"
"zakspeed-881","zakspeed","881","Zakspeed 881"
"zakspeed-891","zakspeed","891","Zakspeed 891"
